Nation,Country,Region,Year,CO2 Emissions,Emissions from bunker fuels,Emissions from cement production,Emissions from gas flaring,Emissions from gas fuel consumption,Emissions from liquid fuel consumption,Emissions from solid fuel consumption,Gdp Ppp,Number of Records,Per capita CO2 emissions,Population,Total CO2 emissions from fossil-fuels and cement production
ISLAMIC REPUBLIC OF IRAN,IRAN,Asia,1950,"-1,473",9,9,0,0,"-1,627",145,62590917397,1,-0.08,17119263,"-1,473"
YEMEN,YEMEN,Asia,1990,-818,0,0,0,0,-818,0,44652210690,1,0,11961099,-818
VENEZUELA,VENEZUELA,South America,1930,-318,0,0,0,0,-325,7,16218877924,1,0,3562393,-318
KUWAIT,KUWAIT,Asia,1952,-119,780,0,0,0,-119,0,37880581544,1,-0.68,173622,-119
SAUDI ARABIA,SAUDI ARABIA,Asia,1951,-95,917,0,0,0,-95,0,38859885474,1,-0.03,3198551,-95
VENEZUELA,VENEZUELA,South America,1931,-70,0,0,0,0,-70,1,13700773289,1,0,3562393,-70
SAUDI ARABIA,SAUDI ARABIA,Asia,1952,-47,"1,023",0,0,0,-47,0,41446310484,1,-0.01,3283299,-47
IRAQ,IRAQ,Asia,1948,-26,0,0,0,0,-26,0,17476389630,1,0,4608028,-26
KUWAIT,KUWAIT,Asia,1953,-14,"1,035",0,0,0,-14,0,41508750698,1,-0.08,181957,-14
BRUNEI (DARUSSALAM),BRUNEI,Asia,1930,0,0,0,0,0,0,0,76519138.71,1,0,29451,0
BRUNEI (DARUSSALAM),BRUNEI,Asia,1931,0,0,0,0,0,0,0,90424190.47,1,0,29451,0
BRUNEI (DARUSSALAM),BRUNEI,Asia,1932,0,0,0,0,0,0,0,107413883.6,1,0,29451,0
TUNISIA,TUNISIA,Africa,1922,0,0,0,0,0,0,0,3418716485,1,0,2152882,0
TUNISIA,TUNISIA,Africa,1923,0,0,0,0,0,0,0,3499893881,1,0,2152882,0
TUNISIA,TUNISIA,Africa,1924,0,0,0,0,0,0,0,3582999657,1,0,2152882,0
TUNISIA,TUNISIA,Africa,1932,0,0,0,0,0,0,0,4322959783,1,0,2152882,0
SAUDI ARABIA,SAUDI ARABIA,Asia,1935,0,0,0,0,0,0,0,14676579653,1,0,2974999,0
IRAQ,IRAQ,Asia,1924,0,0,0,0,0,0,0,7221214958,1,0,3728811,0
IRAQ,IRAQ,Asia,1925,0,0,0,0,0,0,0,7492101795,1,0,3728811,0
IRAQ,IRAQ,Asia,1926,0,0,0,0,0,0,0,7773150334,1,0,3728811,0
BRUNEI (DARUSSALAM),BRUNEI,Asia,1933,1,0,0,0,1,0,0,127601301.8,1,0,29451,1
LEBANON,LEBANON,Asia,1931,1,0,1,0,0,0,0,3615784556,1,0,1077273,1
PLURINATIONAL STATE OF BOLIVIA,BOLIVIA,South America,1928,1,0,0,0,0,1,0,5759565626,1,0,2624832,1
SYRIAN ARAB REPUBLIC,SYRIA,Asia,1931,1,0,1,0,0,0,0,3989235051,1,0,2942179,1
ALGERIA,ALGERIA,Africa,1916,1,0,0,0,0,1,0,23754045442,1,0,6063800,1
PHILIPPINES,PHILIPPINES,Asia,1912,1,0,0,0,0,0,1,12781545920,1,0,9410424,1
REPUBLIC OF KOREA,North Korea,Asia,1945,1,0,1,0,0,0,0,10544784699,1,0,10549469,1
DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,North America,1947,2,0,2,0,0,0,0,3638911845,1,0,2364650,2
PLURINATIONAL STATE OF BOLIVIA,BOLIVIA,South America,1931,2,0,0,0,0,2,0,6130142399,1,0,2624832,2
SAUDI ARABIA,SAUDI ARABIA,Asia,1936,2,0,0,0,0,2,0,15572002374,1,0,2974999,2
ALGERIA,ALGERIA,Africa,1917,2,0,0,0,0,1,1,24158600499,1,0,6063800,2
PHILIPPINES,PHILIPPINES,Asia,1913,2,0,0,0,0,0,2,14125208233,1,0,9410424,2
MYANMAR (FORMERLY BURMA),MYANMAR,Asia,1946,2,0,0,0,0,2,0,14747422840,1,0,16865022,2
UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,Asia,1959,3,0,0,0,0,3,0,836145260.7,1,0.03,87303,3
UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,Asia,1960,3,0,0,0,0,3,0,960791069.2,1,0.03,92612,3
UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,Asia,1961,3,0,0,0,0,3,0,1136720210,1,0.03,100985,3
BAHRAIN,BAHRAIN,Asia,1933,3,0,0,0,0,3,0,257718369.8,1,0,105272,3
OMAN,OMAN,Asia,1964,3,0,0,0,0,3,0,3205608435,1,0,608889,3
LEBANON,LEBANON,Asia,1932,3,0,3,0,0,0,0,3760936446,1,0,1077273,3
TUNISIA,TUNISIA,Africa,1916,3,0,0,0,0,0,3,2969697920,1,0,2152882,3
PLURINATIONAL STATE OF BOLIVIA,BOLIVIA,South America,1929,3,0,0,0,0,3,0,5880481857,1,0,2624832,3
PLURINATIONAL STATE OF BOLIVIA,BOLIVIA,South America,1930,3,0,0,0,0,3,0,6003157369,1,0,2624832,3
SYRIAN ARAB REPUBLIC,SYRIA,Asia,1932,3,0,3,0,0,0,0,4055730515,1,0,2942179,3
SYRIAN ARAB REPUBLIC,SYRIA,Asia,1934,3,0,3,0,0,0,0,4192063261,1,0,2942179,3
GUATEMALA,GUATEMALA,North America,1944,3,0,3,0,0,0,0,6953301784,1,0,3146073,3
GUATEMALA,GUATEMALA,North America,1943,3,0,3,0,0,0,0,7172157175,1,0,3146073,3
GUATEMALA,GUATEMALA,North America,1941,3,0,3,0,0,0,0,10618737269,1,0,3146073,3
GUATEMALA,GUATEMALA,North America,1942,3,0,3,0,0,0,0,10757400280,1,0,3146073,3
GREECE,GREECE,Europe,1914,3,0,0,0,0,0,3,15694638127,1,0,5640215,3
PHILIPPINES,PHILIPPINES,Asia,1917,3,0,0,0,0,0,3,17708307262,1,0,9410424,3
ESTONIA,ESTONIA,Europe,1932,4,0,4,0,0,0,0,2758842221,1,0,915693,4
ESTONIA,ESTONIA,Europe,1933,4,0,4,0,0,0,0,2950115788,1,0,915693,4
ESTONIA,ESTONIA,Europe,1934,4,0,4,0,0,0,0,3293283595,1,0,915693,4
LEBANON,LEBANON,Asia,1933,4,0,4,0,0,0,0,3911918893,1,0,1077273,4
PLURINATIONAL STATE OF BOLIVIA,BOLIVIA,South America,1932,4,0,0,0,0,4,0,6258978996,1,0,2624832,4
SYRIAN ARAB REPUBLIC,SYRIA,Asia,1933,4,0,4,0,0,0,0,4123333306,1,0,2942179,4
SYRIAN ARAB REPUBLIC,SYRIA,Asia,1935,4,0,4,0,0,0,0,4261938799,1,0,2942179,4
GUATEMALA,GUATEMALA,North America,1945,4,0,4,0,0,0,0,7060222973,1,0,3146073,4
GUATEMALA,GUATEMALA,North America,1946,4,0,4,0,0,0,0,8363340478,1,0,3146073,4
GUATEMALA,GUATEMALA,North America,1947,4,0,4,0,0,0,0,8480285526,1,0,3146073,4
GUATEMALA,GUATEMALA,North America,1948,4,0,4,0,0,0,0,8767641347,1,0,3146073,4
VENEZUELA,VENEZUELA,South America,1913,4,0,0,0,0,0,4,4612824350,1,0,3230455,4
ALGERIA,ALGERIA,Africa,1923,4,0,0,0,0,1,3,26734807593,1,0,6063800,4
AFGHANISTAN,AFGHANISTAN,Asia,1949,4,0,0,0,0,0,4,8179808133,1,0,7752118,4
PHILIPPINES,PHILIPPINES,Asia,1945,4,0,4,0,0,0,0,20662118356,1,0,14552395,4
THAILAND,THAILAND,Asia,1944,4,0,4,0,0,0,0,19388340887,1,0,15865398,4
UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,Asia,1962,5,0,0,0,0,5,0,1372614549,1,0.05,112240,5
UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,Asia,1964,5,5,0,0,0,5,0,1997413441,1,0.04,138220,5
ESTONIA,ESTONIA,Europe,1935,5,0,5,0,0,0,0,3439619307,1,0,915693,5
HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA,"HONG KONG, CHINA",Asia,1947,5,0,5,0,0,0,0,5483782763,1,0,1973998,5
TUNISIA,TUNISIA,Africa,1933,5,0,5,0,0,0,0,4425609894,1,0,2152882,5
TUNISIA,TUNISIA,Africa,1934,5,0,5,0,0,0,0,4530695605,1,0,2152882,5
TUNISIA,TUNISIA,Africa,1935,5,0,5,0,0,0,0,4638277383,1,0,2152882,5
SYRIAN ARAB REPUBLIC,SYRIA,Asia,1944,5,0,5,0,0,0,0,4945632852,1,0,2942179,5
SYRIAN ARAB REPUBLIC,SYRIA,Asia,1945,5,0,5,0,0,0,0,5028069757,1,0,2942179,5
GUATEMALA,GUATEMALA,North America,1949,5,0,5,0,0,0,0,9591278589,1,0,3146073,5
ALGERIA,ALGERIA,Africa,1918,5,0,0,0,0,1,4,24570046536,1,0,6063800,5
ALGERIA,ALGERIA,Africa,1919,5,0,0,0,0,1,5,24988502762,1,0,6063800,5
PHILIPPINES,PHILIPPINES,Asia,1914,5,0,0,0,0,0,5,13867749986,1,0,9410424,5
NIGERIA,NIGERIA,Africa,1915,5,0,0,0,0,0,5,26355767724,1,0,18664138,5
UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,Asia,1963,6,1,0,0,0,6,0,1664665402,1,0.05,125216,6
UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,Asia,1965,6,7,0,0,0,6,0,2360592772,1,0.04,150318,6
ESTONIA,ESTONIA,Europe,1931,6,0,6,0,0,0,0,2766712009,1,0,915693,6
ESTONIA,ESTONIA,Europe,1930,6,0,6,0,0,0,0,2831787231,1,0,915693,6
LEBANON,LEBANON,Asia,1940,6,0,6,0,0,0,0,5152807016,1,0,1077273,6
LEBANON,LEBANON,Asia,1941,6,0,6,0,0,0,0,5359660990,1,0,1077273,6
TUNISIA,TUNISIA,Africa,1921,6,0,0,0,0,0,6,3339422964,1,0,2152882,6
DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,North America,1948,6,0,6,0,0,0,0,3786201698,1,0,2364650,6
SYRIAN ARAB REPUBLIC,SYRIA,Asia,1940,6,0,6,0,0,0,0,4629181708,1,0,2942179,6
SYRIAN ARAB REPUBLIC,SYRIA,Asia,1941,6,0,6,0,0,0,0,4706343345,1,0,2942179,6
SYRIAN ARAB REPUBLIC,SYRIA,Asia,1946,6,0,6,0,0,0,0,5111880788,1,0,2942179,6
GREECE,GREECE,Europe,1915,6,0,0,0,0,0,6,16203068424,1,0,5640215,6
ALGERIA,ALGERIA,Africa,1920,6,0,0,0,0,1,5,25414081325,1,0,6063800,6
THAILAND,THAILAND,Asia,1933,6,0,6,0,0,0,0,15143175466,1,0,15865398,6
PANAMA,PANAMA,North America,1948,6,0,6,0,0,0,0,2653915299,1,0,173669648,6
BRUNEI (DARUSSALAM),BRUNEI,Asia,1935,7,0,0,0,7,0,0,180060120.5,1,0,29451,7
UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,Asia,1966,7,8,0,0,0,7,0,2747498364,1,0.04,161077,7
LUXEMBOURG,LUXEMBOURG,Europe,1945,7,0,7,0,0,0,0,4371390101,1,0,296001,7
OMAN,OMAN,Asia,1965,7,0,0,0,0,7,0,3221999053,1,0.01,625007,7
ESTONIA,ESTONIA,Europe,1936,7,0,7,0,0,0,0,3680214352,1,0,915693,7
ECUADOR,ECUADOR,South America,1917,7,0,0,0,0,7,0,4346238068,1,0,1869330,7
ECUADOR,ECUADOR,South America,1918,7,0,0,0,0,7,0,4408512614,1,0,1869330,7
ECUADOR,ECUADOR,South America,1919,7,0,0,0,0,7,0,4471396508,1,0,1869330,7
ECUADOR,ECUADOR,South America,1920,7,0,0,0,0,7,0,4539967529,1,0,1869330,7
ECUADOR,ECUADOR,South America,1921,7,0,0,0,0,7,0,4606669653,1,0,1869330,7
ECUADOR,ECUADOR,South America,1922,7,0,0,0,0,7,0,4674028967,1,0,1869330,7
HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA,"HONG KONG, CHINA",Asia,1948,7,0,7,0,0,0,0,5724993718,1,0,1973998,7
TUNISIA,TUNISIA,Africa,1936,7,0,7,0,0,0,0,4748413313,1,0,2152882,7
DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,North America,1949,7,0,7,0,0,0,0,3937160282,1,0,2364650,7
SYRIAN ARAB REPUBLIC,SYRIA,Asia,1947,7,0,7,0,0,0,0,5197087568,1,0,2942179,7
SYRIAN ARAB REPUBLIC,SYRIA,Asia,1948,7,0,7,0,0,0,0,5283716646,1,0,2942179,7
SAUDI ARABIA,SAUDI ARABIA,Asia,1937,7,0,0,0,0,7,0,16522055272,1,0,2974999,7
ALGERIA,ALGERIA,Africa,1921,7,0,0,0,0,0,7,25846912664,1,0,6063800,7
ALGERIA,ALGERIA,Africa,1922,7,0,0,0,0,1,7,26287111717,1,0,6063800,7
THAILAND,THAILAND,Asia,1932,7,0,7,0,0,0,0,14723874958,1,0,15865398,7
THAILAND,THAILAND,Asia,1934,7,0,7,0,0,0,0,15573919136,1,0,15865398,7
THAILAND,THAILAND,Asia,1935,7,0,7,0,0,0,0,16017377446,1,0,15865398,7
MYANMAR (FORMERLY BURMA),MYANMAR,Asia,1947,7,0,0,0,0,7,0,14891847333,1,0,16865022,7
PANAMA,PANAMA,North America,1949,7,0,7,0,0,0,0,2714521537,1,0,173669648,7
OMAN,OMAN,Asia,1966,8,0,0,0,0,8,0,3392661352,1,0.01,642005,8
ESTONIA,ESTONIA,Europe,1929,8,0,8,0,0,0,0,2859808755,1,0,915693,8
HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA,"HONG KONG, CHINA",Asia,1949,8,0,8,0,0,0,0,5994800420,1,0,1973998,8
TUNISIA,TUNISIA,Africa,1917,8,0,0,0,0,0,8,3040214074,1,0,2152882,8
TUNISIA,TUNISIA,Africa,1920,8,0,0,0,0,0,8,3261966459,1,0,2152882,8
TUNISIA,TUNISIA,Africa,1937,8,0,8,0,0,0,0,4861164172,1,0,2152882,8
SYRIAN ARAB REPUBLIC,SYRIA,Asia,1936,8,0,8,0,0,0,0,4332980016,1,0,2942179,8
SYRIAN ARAB REPUBLIC,SYRIA,Asia,1949,8,0,8,0,0,0,0,5371788365,1,0,2942179,8
VENEZUELA,VENEZUELA,South America,1914,8,0,0,0,0,2,7,4027030956,1,0,3230455,8
ALGERIA,ALGERIA,Africa,1924,8,0,0,0,0,2,7,27190130938,1,0,6063800,8
MOROCCO,MOROCCO,Africa,1928,8,0,8,0,0,0,0,10657933135,1,0,6617663,8
COLOMBIA,COLOMBIA,South America,1921,8,0,0,0,0,8,0,9489504653,1,0,8144252,8
PHILIPPINES,PHILIPPINES,Asia,1918,8,0,0,0,0,0,8,20218914490,1,0,9410424,8
THAILAND,THAILAND,Asia,1931,8,0,8,0,0,0,0,14263247494,1,0,15865398,8
THAILAND,THAILAND,Asia,1936,8,0,8,0,0,0,0,16472552459,1,0,15865398,8
THAILAND,THAILAND,Asia,1947,8,0,8,0,0,0,0,20800113046,1,0,15865398,8
ESTONIA,ESTONIA,Europe,1928,9,0,9,0,0,0,0,2823700570,1,0,915693,9
ESTONIA,ESTONIA,Europe,1937,9,0,9,0,0,0,0,3898094824,1,0,915693,9
TUNISIA,TUNISIA,Africa,1938,9,0,9,0,0,0,0,4976593493,1,0,2152882,9
TUNISIA,TUNISIA,Africa,1939,9,0,9,0,0,0,1,5094762408,1,0,2152882,9
ALGERIA,ALGERIA,Africa,1925,9,0,0,0,0,2,7,27653209626,1,0,6063800,9
MOROCCO,MOROCCO,Africa,1929,9,0,9,0,0,0,0,11032499924,1,0,6617663,9
ALGERIA,ALGERIA,Africa,1938,9,0,0,0,0,0,9,34442159412,1,0,6876190,9
THAILAND,THAILAND,Asia,1943,9,0,9,0,0,0,0,18939697075,1,0,15865398,9
LUXEMBOURG,LUXEMBOURG,Europe,1946,10,0,10,0,0,0,0,4572510504,1,0,296001,10
ESTONIA,ESTONIA,Europe,1939,10,0,10,0,0,0,0,3931636179,1,0,915693,10
LEBANON,LEBANON,Asia,1943,10,0,10,0,0,0,0,5798614878,1,0,1077273,10
ECUADOR,ECUADOR,South America,1923,10,0,0,0,0,10,0,4742051083,1,0,1869330,10
SYRIAN ARAB REPUBLIC,SYRIA,Asia,1943,10,0,10,0,0,0,0,4864547013,1,0,2942179,10
THAILAND,THAILAND,Asia,1937,10,0,10,0,0,0,0,16940728317,1,0,15865398,10
ISRAEL,ISRAEL,Asia,1930,11,0,11,0,0,0,0,1476762980,1,0,564900,11
ISRAEL,ISRAEL,Asia,1931,11,0,11,0,0,0,0,1557432656,1,0,877043,11
ESTONIA,ESTONIA,Europe,1938,11,0,11,0,0,0,0,4103512830,1,0,915693,11
TUNISIA,TUNISIA,Africa,1918,11,0,0,0,0,0,11,3112403988,1,0,2152882,11
ALGERIA,ALGERIA,Africa,1926,11,0,0,0,0,1,10,28124173019,1,0,6063800,11
MOROCCO,MOROCCO,Africa,1930,11,0,10,0,0,0,1,11420228592,1,0,6617663,11
PHILIPPINES,PHILIPPINES,Asia,1927,11,0,0,0,0,0,11,25605748529,1,0,9410424,11
EGYPT,EGYPT,Africa,1913,11,0,0,0,0,11,0,30390369155,1,0,13103160,11
THAILAND,THAILAND,Asia,1938,11,0,11,0,0,0,0,17316859274,1,0,15865398,11
THAILAND,THAILAND,Asia,1948,11,0,11,0,0,0,0,21262389241,1,0,15865398,11
BRUNEI (DARUSSALAM),BRUNEI,Asia,1934,12,0,0,0,12,0,0,151578342.8,1,0,29451,12
LUXEMBOURG,LUXEMBOURG,Europe,1947,12,0,12,0,0,0,0,4782880539,1,0,296001,12
ECUADOR,ECUADOR,South America,1924,12,0,0,0,0,12,0,4810741661,1,0,1869330,12
PLURINATIONAL STATE OF BOLIVIA,BOLIVIA,South America,1933,12,0,0,0,0,12,0,6392266149,1,0,2624832,12
PLURINATIONAL STATE OF BOLIVIA,BOLIVIA,South America,1936,12,0,1,0,0,11,0,6803909897,1,0,2624832,12
ISRAEL,ISRAEL,Asia,1938,13,0,13,0,0,0,0,2568864344,1,0,877043,13
THAILAND,THAILAND,Asia,1939,13,0,13,0,0,0,0,17605277614,1,0,15865398,13
LUXEMBOURG,LUXEMBOURG,Europe,1948,14,0,14,0,0,0,0,5002924142,1,0,296001,14
ISRAEL,ISRAEL,Asia,1932,14,0,14,0,0,0,0,1659169415,1,0,877043,14
LEBANON,LEBANON,Asia,1935,14,0,14,0,0,0,0,4232300870,1,0,1077273,14
TUNISIA,TUNISIA,Africa,1943,14,0,3,0,0,0,10,5596172687,1,0,3034920,14
VENEZUELA,VENEZUELA,South America,1915,14,0,0,0,0,4,10,4150821916,1,0,3230455,14
ALGERIA,ALGERIA,Africa,1936,14,0,9,0,0,0,5,33298290504,1,0,6876190,14
PHILIPPINES,PHILIPPINES,Asia,1916,14,0,0,0,0,0,14,15182467095,1,0,9410424,14
PHILIPPINES,PHILIPPINES,Asia,1926,14,0,0,0,0,0,14,24982668768,1,0,9410424,14
ISRAEL,ISRAEL,Asia,1939,15,0,15,0,0,0,0,2774549415,1,0,877043,15
HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA,"HONG KONG, CHINA",Asia,1938,15,0,15,0,0,0,0,4053848589,1,0,1973998,15
HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA,"HONG KONG, CHINA",Asia,1941,15,0,15,0,0,0,0,4697418472,1,0,1973998,15
HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA,"HONG KONG, CHINA",Asia,1939,15,0,15,0,0,0,0,4868528475,1,0,1973998,15
PLURINATIONAL STATE OF BOLIVIA,BOLIVIA,South America,1937,15,0,1,0,0,13,0,6947808742,1,0,2624832,15
SYRIAN ARAB REPUBLIC,SYRIA,Asia,1942,15,0,15,0,0,0,0,4784792482,1,0,2942179,15
PHILIPPINES,PHILIPPINES,Asia,1915,15,0,0,0,0,0,15,12997873111,1,0,9410424,15
LUXEMBOURG,LUXEMBOURG,Europe,1949,16,0,16,0,0,0,0,5233084581,1,0,296001,16
ISRAEL,ISRAEL,Asia,1941,16,0,16,0,0,0,0,3102702226,1,0,877043,16
LEBANON,LEBANON,Asia,1936,16,0,16,0,0,0,0,4402202373,1,0,1077273,16
LEBANON,LEBANON,Asia,1939,16,0,16,0,0,0,0,4953936135,1,0,1077273,16
SYRIAN ARAB REPUBLIC,SYRIA,Asia,1939,16,0,16,0,0,0,0,4553285095,1,0,2942179,16
TUNISIA,TUNISIA,Africa,1940,16,0,8,0,0,0,7,5215738319,1,0,3034920,16
ALGERIA,ALGERIA,Africa,1927,16,0,0,0,0,1,15,28603156352,1,0,6063800,16
PHILIPPINES,PHILIPPINES,Asia,1919,16,0,0,0,0,0,16,19434349856,1,0,9410424,16
THAILAND,THAILAND,Asia,1940,16,0,16,0,0,0,0,17898900489,1,0,15865398,16
THAILAND,THAILAND,Asia,1941,16,0,16,0,0,0,0,18197712246,1,0,15865398,16
LEBANON,LEBANON,Asia,1937,17,0,17,0,0,0,0,4578923439,1,0,1077273,17
LEBANON,LEBANON,Asia,1938,17,0,17,0,0,0,0,4762738448,1,0,1077273,17
SYRIAN ARAB REPUBLIC,SYRIA,Asia,1937,17,0,17,0,0,0,0,4405204026,1,0,2942179,17
SYRIAN ARAB REPUBLIC,SYRIA,Asia,1938,17,0,17,0,0,0,0,4478632742,1,0,2942179,17
THAILAND,THAILAND,Asia,1949,17,0,17,0,0,0,0,21735206589,1,0,15865398,17
ISRAEL,ISRAEL,Asia,1933,18,0,18,0,0,0,0,1806320935,1,0,877043,18
LEBANON,LEBANON,Asia,1944,18,0,18,0,0,0,0,6031392792,1,0,1077273,18
PLURINATIONAL STATE OF BOLIVIA,BOLIVIA,South America,1938,18,0,3,0,0,15,0,7093805673,1,0,2624832,18
GREECE,GREECE,Europe,1916,18,0,0,0,0,0,18,16727128914,1,0,5640215,18
GREECE,GREECE,Europe,1945,18,0,7,0,0,0,11,12662208196,1,0,7149235,18
NIGERIA,NIGERIA,Africa,1916,18,0,0,0,0,0,18,26949702393,1,0,18664138,18
DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,South Korea,Asia,1945,18,0,18,0,0,0,0,6514171561,1,0,19211386,18
ISRAEL,ISRAEL,Asia,1934,19,0,19,0,0,0,0,1963778784,1,0,877043,19
ECUADOR,ECUADOR,South America,1925,19,0,0,0,0,19,0,4880106405,1,0,1869330,19
PLURINATIONAL STATE OF BOLIVIA,BOLIVIA,South America,1935,19,0,1,0,0,18,0,6664706676,1,0,2624832,19
ALGERIA,ALGERIA,Africa,1937,19,0,9,0,0,0,10,33865393508,1,0,6876190,19
PHILIPPINES,PHILIPPINES,Asia,1921,19,0,0,0,0,0,19,20573872639,1,0,9410424,19
PHILIPPINES,PHILIPPINES,Asia,1929,19,0,10,0,0,0,8,27738545132,1,0,9410424,19
ISRAEL,ISRAEL,Asia,1940,20,0,20,0,0,0,0,2940931324,1,0,877043,20
ISRAEL,ISRAEL,Asia,1945,20,0,20,0,0,0,0,3903588298,1,0,877043,20
LEBANON,LEBANON,Asia,1945,20,0,20,0,0,0,0,6273515418,1,0,1077273,20
LEBANON,LEBANON,Asia,1946,20,0,20,0,0,0,0,6525363317,1,0,1077273,20
PLURINATIONAL STATE OF BOLIVIA,BOLIVIA,South America,1934,20,0,4,0,0,17,0,6527500450,1,0,2624832,20
FINLAND,FINLAND,Europe,1918,20,0,0,0,0,0,20,7150580760,1,0,3140763,20
ALGERIA,ALGERIA,Africa,1928,20,0,7,0,0,1,12,29090296452,1,0,6063800,20
DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,South Korea,Asia,1946,20,0,20,0,0,0,0,6712590328,1,0,19211386,20
DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,South Korea,Asia,1947,20,0,20,0,0,0,0,7207252663,1,0,19211386,20
BRUNEI (DARUSSALAM),BRUNEI,Asia,1936,21,0,0,0,15,6,0,213891343.8,1,0,29451,21
ISRAEL,ISRAEL,Asia,1936,21,0,21,0,0,0,0,2322105609,1,0,877043,21
CUBA,CUBA,North America,1941,21,0,21,0,0,0,0,35650801394,1,0,5919997,21
PHILIPPINES,PHILIPPINES,Asia,1923,21,0,0,0,0,0,21,21626559398,1,0,9410424,21
PHILIPPINES,PHILIPPINES,Asia,1922,21,0,0,0,0,0,21,23040299813,1,0,9410424,21
PHILIPPINES,PHILIPPINES,Asia,1933,21,0,13,0,0,0,8,29508768212,1,0,11577988,21
BRUNEI (DARUSSALAM),BRUNEI,Asia,1948,22,0,0,0,20,3,0,1745520831,1,0,35616,22
ISRAEL,ISRAEL,Asia,1937,22,0,22,0,0,0,0,2446419089,1,0,877043,22
ISRAEL,ISRAEL,Asia,1948,22,0,22,0,0,0,0,4706100418,1,0,877043,22
VENEZUELA,VENEZUELA,South America,1916,22,0,0,0,0,8,14,3917220845,1,0,3230455,22
VENEZUELA,VENEZUELA,South America,1917,22,0,0,0,0,8,14,4573331730,1,0,3230455,22
ALGERIA,ALGERIA,Africa,1929,22,0,8,0,0,3,12,29585736158,1,0,6063800,22
COLOMBIA,COLOMBIA,South America,1932,22,0,0,0,0,22,0,16717726412,1,0,8144252,22
PHILIPPINES,PHILIPPINES,Asia,1928,22,0,9,0,0,0,13,26595976187,1,0,9410424,22
PHILIPPINES,PHILIPPINES,Asia,1931,22,0,13,0,0,0,9,27988387709,1,0,11577988,22
ISRAEL,ISRAEL,Asia,1943,23,0,23,0,0,0,0,3458816239,1,0,877043,23
LEBANON,LEBANON,Asia,1947,23,0,23,0,0,0,0,6787316030,1,0,1077273,23
PLURINATIONAL STATE OF BOLIVIA,BOLIVIA,South America,1939,23,0,0,0,0,23,0,7241927361,1,0,2624832,23
CUBA,CUBA,North America,1942,23,0,23,0,0,0,0,29896636959,1,0,5919997,23
CUBA,CUBA,North America,1943,23,0,23,0,0,0,0,33144179596,1,0,5919997,23
ALGERIA,ALGERIA,Africa,1930,23,0,9,0,0,2,12,30089615590,1,0,6876190,23
AFGHANISTAN,AFGHANISTAN,Asia,1950,23,0,0,0,0,18,6,8296326453,1,0,7752118,23
PHILIPPINES,PHILIPPINES,Asia,1924,23,0,0,0,0,0,23,23605490872,1,0,9410424,23
PHILIPPINES,PHILIPPINES,Asia,1925,23,0,0,0,0,0,23,23791348836,1,0,9410424,23
PHILIPPINES,PHILIPPINES,Asia,1939,23,0,0,0,0,0,23,37397068895,1,0,11577988,23
EGYPT,EGYPT,Africa,1912,23,0,0,0,0,23,0,29779476985,1,0,13103160,23
ISRAEL,ISRAEL,Asia,1944,24,0,24,0,0,0,0,3670405718,1,0,877043,24
CUBA,CUBA,North America,1944,24,0,24,0,0,0,0,38041955010,1,0,5919997,24
PHILIPPINES,PHILIPPINES,Asia,1930,24,0,14,0,0,0,10,27772062358,1,0,11577988,24
PHILIPPINES,PHILIPPINES,Asia,1932,24,0,16,0,0,0,9,29233027625,1,0,11577988,24
PHILIPPINES,PHILIPPINES,Asia,1934,24,0,13,0,0,0,11,29775366268,1,0,11577988,24
ISRAEL,ISRAEL,Asia,1935,25,0,25,0,0,0,0,2173572645,1,0,877043,25
ECUADOR,ECUADOR,South America,1926,25,0,0,0,0,25,0,4952784122,1,0,1869330,25
TUNISIA,TUNISIA,Africa,1944,25,0,8,0,0,0,17,5729054018,1,0,3034920,25
GREECE,GREECE,Europe,1917,25,0,0,0,0,0,25,17267283785,1,0,5640215,25
MOROCCO,MOROCCO,Africa,1931,25,0,20,0,0,0,4,11821583723,1,0,6617663,25
AFGHANISTAN,AFGHANISTAN,Asia,1951,25,0,0,0,0,18,7,8528850499,1,0,7839426,25
AFGHANISTAN,AFGHANISTAN,Asia,1952,25,0,0,0,0,17,9,8806560146,1,0,7934798,25
